paper_id,text_length,num_chunks,has_reference,num_formulas,num_tables,num_figures,time_text_only,time_multimodal,text_rouge1,text_rouge2,text_rougeL,text_bleu,multi_rouge1,multi_rouge2,multi_rougeL,multi_bleu,improvement_rouge1,improvement_rouge2,improvement_rougeL,improvement_bleu
1511.08308v5,59396,72,True,2,2,2,44.53413701057434,58.27842307090759,0.21757321675740982,0.03973509434564337,0.21757321675740982,0.01606194148557765,0.21487602805819284,0.03858520400368134,0.18181817681852347,0.015636064632279928,-1.239669449858939,-2.8938910575107393,-16.433566811099073,-2.651465600719106
1512.03385v1,57038,68,True,2,2,2,39.7789945602417,61.83123850822449,0.21674876352641426,0.029739771967220746,0.17733989653134039,0.008314978678197676,0.27777777290166333,0.04054053564120768,0.23148147660536705,0.031412407300081886,28.15656633160527,36.317573940686444,30.529836282191862,277.780972336669
1601.06759v3,47048,57,True,3,2,2,43.945958375930786,50.00553345680237,0.23880596521472247,0.007434939288293949,0.17910447267740912,0.0068355512969739685,0.2525252475762678,0.023076918100888646,0.23232322737424765,0.012821119714008207,5.744949607607017,210.38475508767695,29.71380552438384,87.56526221497293
1602.02282v3,37086,47,True,5,2,2,44.51916980743408,55.205848693847656,0.33644859314656306,0.0633802766903892,0.2990654155764696,0.02262921225484809,0.35514018193160984,0.0553633167998472,0.2990654155764696,0.017899240089071258,5.5555556378576965,-12.648982158447525,0.0,-20.90206284031598
1605.09782v7,68927,86,True,5,2,2,47.868051052093506,66.82444047927856,0.2976744137224446,0.0902777728944833,0.26046511139686324,0.08354599886270005,0.2200956888633503,0.01423487053152992,0.2105263108729197,0.006158377116181822,-26.061603309792584,-84.23214255831539,-19.17293270339505,-92.62875876760714
1606.03657v1,43489,56,True,5,2,2,51.181713819503784,57.029579162597656,0.19383259428205488,0.021052626672577318,0.18502202159483022,0.005507743515316988,0.20754716488652558,0.02826854632221739,0.16981131582992184,0.007760618016214328,7.075471829321951,34.2756263238134,-8.221024521187799,40.90376566432543
1608.05148v2,32382,41,True,5,1,2,45.866697788238525,84.45477271080017,0.22522522022887764,0.03460207112462807,0.19819819320185064,0.0397654628547258,0.22310756481833635,0.0429447803370475,0.19920318234821682,0.04384157886154199,-0.940239023138392,24.110433107807523,0.5070627184490383,10.25039246168809
1608.06993v5,47024,57,True,2,2,2,52.52174639701843,80.94476985931396,0.21804510778902156,0.028818438809059984,0.21052631079654036,0.016072115590217484,0.3018867874585974,0.053571423571429036,0.2716981082133144,0.05906177117336638,38.451529832396105,85.89287201285578,29.0566044620867,267.4797561144667
1609.02907v4,50367,61,True,5,2,2,56.14502024650574,71.39555764198303,0.23350253355046519,0.060836497329728983,0.2233502492865058,0.016905106960966466,0.27692307238080216,0.04918032315137105,0.25641025186798166,0.007714860658707391,18.595318076475095,-19.159837745395485,14.801865091749985,-54.36372762076667
1611.07004v3,54769,66,True,4,2,2,44.96512150764465,67.89189195632935,0.2583333283503473,0.02684563258389355,0.21666666168368068,0.016458220501441315,0.27586206396886154,0.047619042619973684,0.2499999950033443,0.027228676432929942,6.785317144500256,77.38096679660089,15.384615732127784,65.44119353939519
1612.00563v2,59099,74,True,5,2,2,51.82781648635864,64.72339630126953,0.2539682489695138,0.02253520630097312,0.23015872515999003,0.013548028115285143,0.282258059521332,0.029761899863946385,0.2580645111342353,0.028840145608797038,11.139113124024439,32.06845975340017,12.124583134898376,112.87338174519314
1612.08242,37387,45,True,4,2,2,50.382609128952026,73.59796667098999,0.299212593462707,0.06997084064972961,0.26771653047058097,0.04084736623358789,0.3306451563540583,0.10826210338487534,0.3225806402250261,0.06334473495973018,10.505093561601354,54.72460010424886,20.49335902344441,55.07666907454906
1701.07875v3,71513,89,True,5,1,2,51.069761991500854,70.5952558517456,0.21621621199474073,0.008510634114986211,0.19459459037311916,0.0054661923089671235,0.17142856707657153,0.008888884602471201,0.17142856707657153,0.005484018782093871,-20.71428617908569,4.444445412345198,-11.904762230095235,0.32612231914167183
1703.06103v4,49818,62,True,5,2,2,46.49569797515869,53.51828670501709,0.13829786752376658,0.008298750361050308,0.13829786752376658,0.007613108991642822,0.16666666199154184,0.03174602699294604,0.1372548972856595,0.011734604570912197,20.51282132958418,282.53984770941094,-0.7541477368968331,54.13682614807808
1703.10593v7,66728,81,True,5,2,2,48.58052062988281,69.95346021652222,0.28085105886247175,0.044164032858920454,0.25531914396885474,0.049112685135513416,0.3333333283629192,0.05806451114235214,0.2905982856278765,0.023203827653368078,18.68686901627355,31.4746579594214,13.817664085277242,-52.75390138139815
1704.01212v2,70763,87,True,5,2,1,42.34201383590698,60.29881453514099,0.2145922696855718,0.020761240706410354,0.18884119672419838,0.00813491623815217,0.2798353859465868,0.04416403285613407,0.23045266989720414,0.04247211551281474,30.40329288497276,112.72347583012102,22.035167058265948,422.0965314138526
1704.04861v1,35019,43,True,5,2,2,46.92251753807068,76.78266596794128,0.24742267551652677,0.07199999506272034,0.23711339716601137,0.05467906213505742,0.3188405749062989,0.10526315303154524,0.2995169034087144,0.08830331476803924,28.864734907856786,46.198833680264606,26.318001002285058,61.49383570246657
1706.02216v4,81359,102,True,5,2,2,48.87339949607849,70.15667796134949,0.24338623880966384,0.032653056718367976,0.190476185899611,0.03252092231995662,0.16666666212293849,0.024590159419511707,0.15624999545627186,0.026059263369990853,-31.521739709664775,-24.692626385329287,-17.96875041448897,-19.869236445365317
1706.03762v7,45628,56,True,5,2,2,40.4526948928833,60.861305713653564,0.2643171756284811,0.04040403546576941,0.23788545756680715,0.02033224436697932,0.3083333283336806,0.06349205850340175,0.25833332833368067,0.023890649805390376,16.65277808774247,57.142864002267025,8.595679187800283,17.501291909466225
1707.01083v2,43091,52,True,0,2,2,46.38674020767212,72.92155766487122,0.2871287079673562,0.049999995138889364,0.2673267277693364,0.02155996201745524,0.2941176421669551,0.04166666180555612,0.2647058774610727,0.018118073246553144,2.4340771248806896,-16.666668287036853,-0.9803921703351368,-15.96426175572803
1708.02182v1,50477,62,True,5,2,0,43.072508811950684,58.4051239490509,0.1842105213157896,0.020270265270271502,0.14035087219298265,0.014016915039392166,0.1999999950003782,0.0398671046359318,0.16521738630472604,0.008471804837255103,8.571428804286876,96.67776471776689,17.717391935799235,-39.5601327863761
1708.02286v2,44029,55,True,5,2,2,46.124915599823,56.20004343986511,0.10344827134363872,0.0,0.09195401847007553,0.005696665257240511,0.10169491077276666,0.009216585256856343,0.10169491077276666,0.006118658825546661,-1.6949152925404447,0,10.593220899705528,7.407729772603239
1709.01507v4,63968,80,True,5,2,2,46.10537600517273,71.50268959999084,0.31734316845141003,0.08211143198630932,0.265682651846244,0.07763538580670944,0.2962962913185186,0.06936415687376828,0.23703703205925936,0.06730543890881928,-6.632213712240044,-15.524360986258817,-10.781893205267487,-13.305719795878723
1710.10903v3,58899,74,True,5,2,2,46.79959988594055,71.21912407875061,0.19742488772458522,0.02006688464827139,0.18025750575033628,0.007936124096459078,0.23008849058148653,0.027777772779948813,0.20353981801511484,0.019492830744557346,16.544825342622563,38.42593539970169,12.91614025605429,145.62154658411418
1711.00937v2,46826,58,True,5,0,2,48.67591404914856,51.110764265060425,0.2399999950119507,0.026845632589523924,0.22222221723417293,0.03924908158069284,0.20276497195948112,0.035087714298800345,0.17511520237422765,0.019280531065328087,-15.514593260977144,30.70176007881729,-21.198157162793915,-50.87647840704521
1801.04381v4,66754,82,True,5,2,2,38.98418879508972,48.84122967720032,0.1647058779349482,0.00995024410386099,0.14117646617024235,0.005034248634516924,0.21301774704807264,0.009756092947533412,0.177514788468191,0.005031047840110476,29.33220703404742,-1.9512200334084393,25.739645766546438,-0.06358037989029441
1802.08435v2,48752,61,True,5,2,2,50.19611954689026,64.69755387306213,0.20377357995016032,0.02777777290756258,0.17358490070487734,0.015152788199175782,0.22710622212561568,0.03314916639037342,0.21978021479960833,0.01395943126223494,11.450278383077011,19.33701992843517,26.612518662133272,-7.875494075775133
1803.08475v3,91426,117,True,5,2,2,43.71917366981506,61.86981725692749,0.19555555055802484,0.03436425617836423,0.15999999500246928,0.03313860363201377,0.28099173057851246,0.02507836491701242,0.20661156528925634,0.03608887192655512,43.68895680879033,-27.021947494379976,29.132232339174575,8.902814153856568
1804.02767,21196,26,True,1,2,2,53.50248432159424,67.77311706542969,0.12017166905929398,0.0,0.12017166905929398,0.0037051385851177296,0.12280701274738402,0.007067132984557977,0.12280701274738402,0.00490135205052121,2.1929825130328635,0,2.1929825130328635,32.28525567729799
1804.02767v1,21280,26,True,1,2,2,45.16239070892334,68.3152973651886,0.11872145632993493,0.0,0.11872145632993493,0.0025611630518259042,0.13333332851595078,0.007272722406614827,0.13333332851595078,0.004283292723387818,12.307692844845565,0,12.307692844845565,67.24014194778317
1807.03039v2,45197,57,True,5,2,2,42.608633279800415,67.14347672462463,0.21739129949905492,0.03587443457137753,0.19565216906427232,0.04397271790788066,0.22702702218612136,0.04347825602079449,0.22702702218612136,0.04383198564182935,4.4324325349130795,21.195655179701923,16.036036437470983,-0.32004450201630336
1807.11164v1,51317,62,True,2,2,2,41.1367347240448,56.52427554130554,0.20833332849012598,0.042918450048444995,0.18749999515679264,0.03256104724848587,0.1968911868742786,0.03418802930637809,0.1968911868742786,0.008219675341075249,-5.492228103286745,-20.341882645371115,5.008635712034435,-74.75610879973318
1810.00826v3,76004,93,True,5,1,2,44.1018271446228,63.47740983963013,0.2683982634096063,0.05844155346264168,0.23376622877757175,0.055290190927877715,0.26431717562149476,0.050632906399615936,0.2555066029342701,0.04284289066297642,-1.5205343493163197,-13.361463890615715,9.300049143276492,-22.512673687703398
1810.04805v2,75192,93,True,0,2,2,46.18171429634094,74.29490232467651,0.2708333285091146,0.0175438548895827,0.18749999517578136,0.008714789155892856,0.28272250825690093,0.03587443466548758,0.25130889569145587,0.00815605942482406,4.389851061992242,104.48433306860811,34.03141448395965,-6.4112822590892975
1812.04948v3,52682,66,True,3,2,2,45.03296875953674,56.420276165008545,0.215384610454175,0.0323886589971979,0.18461537968494424,0.015504913233231459,0.2653061175239484,0.038610033681669056,0.2040816277280301,0.016245634303608782,23.177843098680732,19.208497286069782,10.544217971604548,4.777331283542733
1901.01343v7,70503,87,True,5,2,2,55.50374484062195,66.70983290672302,0.24999999506656806,0.04861110613522428,0.2307692258357989,0.03808463396855433,0.2697674369644133,0.06802720592345818,0.2325581346388319,0.023970190730589095,7.906976915172226,39.94169508141418,0.7751938312198888,-37.060729662307445
1903.12436v4,78731,97,True,5,2,2,44.123496294021606,60.33349108695984,0.19762845352059877,0.031055895714479385,0.1818181768407569,0.006902957683652503,0.20168066735929677,0.025641020790804665,0.17647058332568333,0.03813242962483004,2.050420254022601,-17.435900008996068,-2.9411765138076373,452.4071184028083
1905.02244v5,53698,64,True,2,2,2,47.70112705230713,65.41512656211853,0.251968498956848,0.028169009222615404,0.251968498956848,0.010444805875190005,0.2568093335341944,0.038251361206217596,0.24902723236687924,0.010480202026271966,1.9212062608570162,35.79235571944648,-1.1673152009658394,0.3388875916405417
1906.00446v1,44041,54,True,3,2,2,52.90185475349426,95.95632338523865,0.24107142357780623,0.013651872133165873,0.1964285664349491,0.008873918239955286,0.2314814764814816,0.021428566441072588,0.22222221722222232,0.008535492571929133,-3.9780522112482806,56.96430666834335,13.131313461891633,-3.813711811118271
1906.08237v2,69659,86,True,5,2,2,49.245431900024414,64.31640243530273,0.21100916936284836,0.007168453809692429,0.19266054550963738,0.006830047058092041,0.24299064924098188,0.03571428074515376,0.22429906045593512,0.045681087507615716,15.156440819469138,398.21456193056116,16.421896274925217,568.825370002306
1907.02544v2,69243,90,True,5,2,2,47.089762449264526,69.95909476280212,0.2285714236734695,0.05166051167930767,0.21904761414965998,0.03956663072966846,0.20388349022528054,0.02205881860753786,0.19417475236120288,0.007289622272407415,-10.800971115032043,-57.3004256239812,-11.35500237471804,-81.57633809607802
1907.05600v3,74680,90,True,5,2,2,47.904173135757446,61.023829221725464,0.3259911844351725,0.033222586368804624,0.28193832099904914,0.015697589795408133,0.32034631536215596,0.052287576701269226,0.31168830670414727,0.044730617874827336,-1.7316017556723498,57.385629525720084,10.551948241615037,184.95213888129476
1908.02265v1,55316,66,True,0,2,2,50.89955973625183,63.90038871765137,0.2869955107072332,0.028169009084755895,0.2331838515144082,0.00822376116090833,0.26431717563857254,0.02797202297300691,0.23788545757689858,0.03066529687583024,-7.901982512818837,-0.6993008208286138,2.0162657199269494,272.8865208488521
1909.00015v2,54814,67,True,5,1,2,45.62576508522034,58.83053135871887,0.3305785074021584,0.04790418664706568,0.28099173054265425,0.015664677611647724,0.3360655687735153,0.03692307198106575,0.2786885195931874,0.02222175045384955,1.6598360899130489,-22.92307924337249,-0.8196721465855428,41.85897089465926
1909.11942v6,65113,79,True,1,2,2,49.88982439041138,59.43488097190857,0.23788545756292584,0.04195803697784792,0.2202643121884765,0.00934985408615646,0.19642856643215895,0.027874559481844786,0.18749999500358752,0.00781070020842435,-17.42724904476376,-33.56562534953343,-14.875000339071315,-16.461795698084796
1910.13461v1,47427,58,True,0,2,2,48.20336413383484,69.1984612941742,0.3065134050075601,0.058479527288396844,0.27586206401139163,0.041075651467895456,0.2823529362503653,0.05882352454740525,0.2745097989954633,0.04563297769611236,-7.882353059435976,0.5882353619446193,-0.4901960770773078,11.094957877366571
1911.03864v2,50034,54,True,2,2,2,41.23523545265198,57.26889634132385,0.3152709309607125,0.06642065921814828,0.2758620639656386,0.019081733749776682,0.305418714211944,0.059701487555135185,0.2758620639656386,0.017202094188041497,-3.125000049559358,-10.116086985744944,0.0,-9.850465300393278
1912.03458v2,54568,67,True,5,2,2,58.45130372047424,64.96950244903564,0.36144577815583623,0.066445177728723,0.3293172640996113,0.03769793785833842,0.3346938725650979,0.026936021937444952,0.2693877501161183,0.03411244472933228,-7.401360648679181,-59.46128393633446,-18.19810878951236,-9.511112099764535
2001.01102v2,14961,18,True,0,1,1,47.772106409072876,60.13904333114624,0.19323671017199948,0.00722021171604288,0.14492753142803813,0.007331122914009914,0.23469387266815922,0.060606055662305265,0.1836734645048939,0.038568308108101065,21.45408212510906,739.3944394683361,26.734694709193036,426.09004869358154
2001.01173v4,36561,44,True,5,2,2,43.80838441848755,64.89501285552979,0.34042552691570854,0.05498281286947531,0.30638297372421913,0.06040819852754341,0.3524229025007278,0.07117437222932876,0.3171806117518291,0.02249810050331843,3.5242291298530786,29.44840126366559,3.5242291359601197,-62.75654455568591
2002.02126v4,58918,73,True,5,2,2,44.90450596809387,58.39457964897156,0.2068965470911695,0.04115225873223985,0.1871921135936326,0.028115346149573627,0.22916666192925358,0.02597402123723405,0.20833332859592024,0.007118419713730951,10.763889079439638,-36.883121273522555,11.293859872848168,-74.68137267149065
2002.09402v3,67947,83,True,4,2,2,44.74642038345337,58.4098904132843,0.3203463153674032,0.03436425619442449,0.26839826341935125,0.01695059462131919,0.21834060636982525,0.01333332838333517,0.20087335746152835,0.007245879306047459,-31.842323168471047,-61.20000878849674,-25.158473492922912,-57.25294912702276
2004.02984v2,56523,69,True,5,2,2,45.266067028045654,62.48490929603577,0.25830257809125695,0.01744185556246757,0.214022135286829,0.014426338316545646,0.23529411270788292,0.023952090959160503,0.19852940682552997,0.014299377371976507,-8.90756319716068,37.32536009931217,-7.238843982439448,-0.8800635461565919
2004.04467v1,47228,59,True,5,2,2,50.65524864196777,55.93084383010864,0.1938325941236975,0.019480514485791463,0.1938325941236975,0.013740391799888802,0.2374429173745336,0.02054794020759176,0.2283104972832094,0.014666019999970666,22.498962802409515,5.479453443485012,17.787464133874852,6.736548808523455
